时间戳,帧计数器,游戏时间,挂载对象位置X,挂载对象位置Y,挂载对象位置Z,挂载对象旋转X,挂载对象旋转Y,挂载对象旋转Z,目标对象1旋转X,目标对象1旋转Y,目标对象1旋转Z,注视原点X,注视原点Y,注视原点Z,注视方向X,注视方向Y,注视方向Z,碰撞点X,碰撞点Y,碰撞点Z,碰撞物体名称,左瞳孔直径,右瞳孔直径,左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,眼动追踪状态
2025-11-27 17:47:53.1445,1,0.0000,0.413281,-0.001141,26.274050,359.983900,-0.000137,0.001785,0,0,0,0.413281,-0.001141,26.274050,-0.000002,0.000282,1.000000,0.413271,0.000001,30.327140,Road,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,1.000000,1.000000,Invalid
2025-11-27 17:47:55.2777,2,0.0200,0.382355,1.199464,26.319750,351.865900,5.115267,355.525600,0,0,0,0.382355,1.199464,26.319750,0.088263,0.141490,0.985997,0.414353,1.250758,26.677210,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.5509,3,0.2909,0.381628,1.188306,26.315190,351.775900,5.519758,355.723700,0,0,0,0.381628,1.188306,26.315190,0.095200,0.143046,0.985127,0.415740,1.239561,26.668180,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.5786,4,0.3254,0.381176,1.187709,26.315610,351.784400,5.534263,355.726900,0,0,0,0.381176,1.187709,26.315610,0.095451,0.142899,0.985124,0.415309,1.238809,26.667890,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.5890,5,0.3353,0.380981,1.187541,26.315780,351.806700,5.510056,355.763900,0,0,0,0.380981,1.187541,26.315780,0.095040,0.142514,0.985219,0.414942,1.238465,26.667820,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.5978,6,0.3454,0.380878,1.187456,26.315860,351.820000,5.468114,355.784900,0,0,0,0.380878,1.187456,26.315860,0.094322,0.142284,0.985322,0.414566,1.238273,26.667770,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.6071,7,0.3536,0.380831,1.187451,26.315900,351.826400,5.449385,355.794200,0,0,0,0.380831,1.187451,26.315900,0.094002,0.142174,0.985368,0.414399,1.238222,26.667770,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.6160,8,0.3624,0.380795,1.187372,26.315870,351.827300,5.435859,355.797300,0,0,0,0.380795,1.187372,26.315870,0.093769,0.142157,0.985393,0.414277,1.238132,26.667730,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.6243,9,0.3707,0.380768,1.187309,26.315900,351.836000,5.418796,355.801100,0,0,0,0.380768,1.187309,26.315900,0.093478,0.142007,0.985442,0.414139,1.238005,26.667700,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.6319,10,0.3792,0.380741,1.187231,26.315890,351.816800,5.410230,355.801400,0,0,0,0.380741,1.187231,26.315890,0.093326,0.142339,0.985408,0.414058,1.238046,26.667680,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.6403,11,0.3881,0.380690,1.187252,26.315910,351.843600,5.407688,355.813300,0,0,0,0.380690,1.187252,26.315910,0.093289,0.141875,0.985479,0.413989,1.237894,26.667680,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.6519,12,0.3984,0.380673,1.187225,26.315910,351.839900,5.394108,355.809900,0,0,0,0.380673,1.187225,26.315910,0.093054,0.141940,0.985492,0.413887,1.237889,26.667660,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.6853,13,0.4311,0.380663,1.187164,26.315960,351.826700,5.389833,355.814400,0,0,0,0.380663,1.187164,26.315960,0.092978,0.142167,0.985466,0.413845,1.237901,26.667660,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.6931,14,0.4399,0.380598,1.187141,26.316020,351.851600,5.377923,355.842800,0,0,0,0.380598,1.187141,26.316020,0.092778,0.141738,0.985547,0.413702,1.237715,26.667670,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:47:55.7008,15,0.4484,0.380590,1.187137,26.316020,351.859500,5.364999,355.835700,0,0,0,0.380590,1.187137,26.316020,0.092558,0.141600,0.985587,0.413616,1.237660,26.667690,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
