时间戳,帧计数器,游戏时间,挂载对象位置X,挂载对象位置Y,挂载对象位置Z,挂载对象旋转X,挂载对象旋转Y,挂载对象旋转Z,目标对象1旋转X,目标对象1旋转Y,目标对象1旋转Z,注视原点X,注视原点Y,注视原点Z,注视方向X,注视方向Y,注视方向Z,碰撞点X,碰撞点Y,碰撞点Z,碰撞物体名称,左瞳孔直径,右瞳孔直径,左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,眼动追踪状态
2025-11-29 15:55:02.1125,1,0.0000,0.413239,1.258851,26.273680,359.983900,-0.000137,0.001793,0,0,0,0.413239,1.258851,26.273680,-0.000002,0.000281,1.000000,0.413237,1.259006,26.824240,-114-199,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-29 15:55:04.1049,2,0.0000,0.821426,1.121136,26.798720,354.025400,13.353610,2.006786,0,0,0,0.823221,1.127792,26.811390,0.312862,-0.233800,0.920573,0.827603,1.124518,26.824280,-114-199,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999152,0.999010,Valid
2025-11-29 15:55:04.3177,3,0.0000,0.820768,1.118834,26.818820,354.993100,8.889130,0.011831,0,0,0,0.821774,1.125312,26.831670,0.228695,-0.288395,0.929799,0.837980,1.104876,26.897560,车身,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999963,0.999956,Valid
2025-11-29 15:55:04.3465,4,0.0000,0.820858,1.118808,26.818590,355.017100,9.197289,0.024741,0,0,0,0.821932,1.125281,26.831430,0.231412,-0.290745,0.928394,0.838174,1.104875,26.896590,车身,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999970,0.999965,Valid
2025-11-29 15:55:04.3605,5,0.0000,0.820917,1.118658,26.818620,355.048500,9.224683,0.055694,0,0,0,0.821995,1.125124,26.831470,0.230748,-0.292204,0.928101,0.837985,1.104875,26.895780,车身,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999976,0.999972,Valid
2025-11-29 15:55:04.3691,6,0.0000,0.820988,1.118592,26.818670,355.031200,9.230979,0.060270,0,0,0,0.822065,1.125061,26.831510,0.231401,-0.292438,0.927865,0.838039,1.104875,26.895560,车身,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999981,0.999978,Valid
2025-11-29 15:55:04.3759,7,0.0000,0.821034,1.118576,26.818740,355.039900,9.253506,0.054121,0,0,0,0.822117,1.125043,26.831590,0.231719,-0.292592,0.927737,0.838090,1.104875,26.895540,车身,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999981,0.999978,Valid
2025-11-29 15:55:04.3834,8,0.0000,0.821077,1.118541,26.818780,355.024400,9.262789,0.053703,0,0,0,0.822163,1.125011,26.831620,0.231880,-0.292335,0.927778,0.838136,1.104875,26.895530,车身,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999981,0.999978,Valid
2025-11-29 15:55:04.3900,9,0.0000,0.821116,1.118529,26.818820,355.029300,9.271248,0.052707,0,0,0,0.822203,1.124998,26.831660,0.231862,-0.292710,0.927664,0.838143,1.104875,26.895440,车身,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999981,0.999978,Valid
2025-11-29 15:55:04.3988,10,0.0000,0.821150,1.118502,26.818840,355.043000,9.282536,0.063238,0,0,0,0.822239,1.124968,26.831680,0.232101,-0.292923,0.927537,0.838160,1.104875,26.895310,车身,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.999988,0.999986,Valid
