时间戳,帧计数器,游戏时间,挂载对象位置X,挂载对象位置Y,挂载对象位置Z,挂载对象旋转X,挂载对象旋转Y,挂载对象旋转Z,目标对象1旋转X,目标对象1旋转Y,目标对象1旋转Z,注视原点X,注视原点Y,注视原点Z,注视方向X,注视方向Y,注视方向Z,碰撞点X,碰撞点Y,碰撞点Z,碰撞物体名称,左瞳孔直径,右瞳孔直径,左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,眼动追踪状态
2025-11-27 17:52:07.1498,1,0.0000,0.413281,-0.001141,26.274050,359.983900,-0.000137,0.001785,0,0,0,0.413281,-0.001141,26.274050,-0.000002,0.000282,1.000000,0.413271,0.000001,30.327140,Road,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.3420,2,0.0200,0.204390,1.144634,26.019150,349.869200,0.198154,0.396726,0,0,0,0.204390,1.144634,26.019150,0.003405,0.175897,0.984403,0.206665,1.262217,26.677200,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.6250,3,0.2991,0.205988,1.131551,26.015910,350.066200,0.516468,0.296548,0,0,0,0.205988,1.131551,26.015910,0.008879,0.172511,0.984968,0.211867,1.245782,26.668130,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.6515,4,0.3332,0.206154,1.131206,26.013850,349.812200,0.402353,0.376608,0,0,0,0.206154,1.131206,26.013850,0.006912,0.176875,0.984209,0.210746,1.248729,26.667800,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.6605,5,0.3425,0.206375,1.131284,26.013160,349.669800,0.396494,0.350045,0,0,0,0.206375,1.131284,26.013160,0.006808,0.179321,0.983767,0.210905,1.250597,26.667720,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.6709,6,0.3523,0.206495,1.131208,26.012900,349.620800,0.401659,0.341506,0,0,0,0.206495,1.131208,26.012900,0.006896,0.180162,0.983613,0.211085,1.251137,26.667660,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.6796,7,0.3609,0.206513,1.131070,26.012790,349.619500,0.408767,0.335313,0,0,0,0.206513,1.131070,26.012790,0.007018,0.180185,0.983608,0.211184,1.251027,26.667620,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.6907,8,0.3715,0.206541,1.131020,26.012670,349.600700,0.411137,0.328109,0,0,0,0.206541,1.131020,26.012670,0.007058,0.180507,0.983548,0.211241,1.251215,26.667590,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.6990,9,0.3805,0.206583,1.131020,26.012560,349.616400,0.406941,0.322957,0,0,0,0.206583,1.131020,26.012560,0.006986,0.180237,0.983598,0.211235,1.251045,26.667560,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.7080,10,0.3890,0.206623,1.130891,26.012490,349.585700,0.416722,0.332296,0,0,0,0.206623,1.130891,26.012490,0.007153,0.180765,0.983500,0.211387,1.251290,26.667550,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.7166,11,0.3994,0.206657,1.130906,26.012380,349.592400,0.408272,0.355562,0,0,0,0.206657,1.130906,26.012380,0.007008,0.180650,0.983523,0.211326,1.251245,26.667550,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.7262,12,0.4083,0.206688,1.130890,26.012260,349.585300,0.399342,0.355976,0,0,0,0.206688,1.130890,26.012260,0.006855,0.180771,0.983501,0.211255,1.251332,26.667540,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.7602,13,0.4412,0.206682,1.130791,26.012180,349.563100,0.400258,0.358952,0,0,0,0.206682,1.130791,26.012180,0.006870,0.181153,0.983431,0.211261,1.251515,26.667550,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.7684,14,0.4504,0.206717,1.130772,26.011890,349.516000,0.377807,0.370524,0,0,0,0.206717,1.130772,26.011890,0.006484,0.181960,0.983285,0.211040,1.252106,26.667560,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.7789,15,0.4598,0.206701,1.130752,26.011820,349.506000,0.373225,0.365776,0,0,0,0.206701,1.130752,26.011820,0.006405,0.182133,0.983253,0.210973,1.252222,26.667580,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.7899,16,0.4718,0.206709,1.130787,26.011750,349.491300,0.368843,0.369135,0,0,0,0.206709,1.130787,26.011750,0.006330,0.182385,0.983207,0.210931,1.252448,26.667600,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
2025-11-27 17:52:09.7988,17,0.4807,0.206722,1.130840,26.011650,349.468800,0.361975,0.372412,0,0,0,0.206722,1.130840,26.011650,0.006211,0.182772,0.983136,0.210866,1.252789,26.667610,-135-860,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,Invalid
